					
Titles	Views	Likes	Comments		
"TRỜI ĐẤT ƠI, cả xóm ai cũng TÁ HỎA xôn xao khi biết chuyện này - tập 744"	"2,871,045"	"20,688"	"1,299"		
"Ở NHÀ mục nát, ăn LÁ CÂY rừng, uống nước suối, để TỒN TẠI - tập 1025"	"2,648,974"	"16,850"	"1,693"		
"BÍ ẨN nơi hoang vắng, NGƯỜI RỪNG còn sót lại, sống như thời nguyên thủy - tập 747"	"2,567,664"	"16,480"	"1,272"		
"Đôi vợ chồng, bất chấp thị phi xóm làng, dắt nhau ra bờ ra bụi ở, vì mẹ chồng ganh ghét - tập 661"	"2,080,344"	"11,930"	895		
"CÔ GÁI xinh đẹp, ĂN NGỦ trong rừng, ăn LÁ CÂY - tập 1019"	"1,967,629"	"17,382"	"1,243"		
"CẢ XÓM ai cũng bật ngữa, CÔ BÉ học lớp 6 đã BỒNG CON sống ở ẨN trong rừng - tập 864"	"1,948,897"	"14,243"	813		
"Món ăn ĐỘC LẠ của người rừng, ai nhìn thấy cũng thèm chảy nước miếng - tập 743"	"1,914,030"	"17,699"	914		
"CÔ GÁI xinh đẹp, chạy vô trong rừng, VẤT VẢ kiếm cơm, LỤM phân đổi GẠO - tập 1047"	"1,854,277"	"18,171"	"2,565"		
"3 CHA CON ở trong hang đất, giống như thời nguyên thủy - tập 1310"	"1,826,287"	"17,419"	"1,193"		
"CÔ GÁI xinh đẹp, chạy trốn ĐÀN ÔNG, ăn ngủ trong rừng - tập 1028"	"1,644,919"	"15,755"	"1,187"		
"ĂN NGỦ trong rừng, không dám nấu CƠM ĂN vì sợ HẾT GẠO, ở ngôi nhà MỤC NÁT - tập 1013"	"1,575,256"	"18,615"	"1,211"		
"Tận cùng của sự nghèo khổ, 11 người sống trong căn nhà rách nát, người ra đi, kẻ ở lại - tập 649"	"1,517,591"	"9,055"	464		
"MẤT CHA gánh nợ, CÔ GÁI sống trong rừng, mỗi ngày ăn LÁ CÂY đắng LE LƯỠI - tập 972"	"1,477,144"	"12,719"	706		
"Ngôi làng nghèo, cơm không có ăn, nước không đủ uống, một tháng mới tắm một lần - tập 460"	"1,450,612"	"12,110"	751		
"3 MẸ CON ăn lá ĐU ĐỦ hàng ngày để sống, MÓN ĂN đắng LE LƯỠI - tập 929"	"1,400,885"	"12,429"	614		
"RƯỢT ĐUỔI, chạy theo 2 đứa trẻ sống bí ẩn nơi hẻo lánh - tập 761"	"1,369,513"	"12,470"	734		
"YÊU SỚM để rồi HỐI HẬN, gà mái nuôi con, ôm con chạy vô rừng trú ẩn - tập 765"	"1,368,651"	"13,249"	727		
"ÔNG LÃO bị con cái LÃNG QUÊN, sống tạm bợ CĂN CHÒI rách tả tơi - tập 1578"	"1,362,899"	"11,461"	"1,431"		
"2 VỢ CHỒNG mồ côi cha mẹ, THAY ĐỔI cuộc sống thoát nghèo - tập 1539"	"1,316,163"	"10,542"	930		
"Cả gia đình nghèo sống ẩn danh trong rừng sâu không một ai biết đến, ăn lá cây sinh sống - tập 483"	"1,233,851"	"9,547"	502		
"Người cha già còng lưng nuôi con, con cái lớn khôn đuổi cha già lên núi rừng hoang vu - tập 500"	"1,214,911"	"13,020"	681		
"LỜI TÂM SỰ nghẹn ngào, 3 mẹ con ở trong rừng, ăn LÁ CÂY đắng lè lưỡi để sống - tập 1005"	"1,207,917"	"12,340"	"1,047"		
"CÔ GÁI bị cha mẹ đuổi ra khỏi nhà, chạy vô RỪNG ăn lá cây, ở nhà rách nát TE TUA - tập 989"	"1,185,087"	"12,803"	708		
"Người phụ nữ sống ẩn cư trong rừng, bị con quái vật lạ tấn công, đập phá nhà lúc nửa đêm - tập 664"	"1,148,355"	"12,172"	655		
Thực hiện lời hứa tặng quà cho cụ bà sống với con heo rừng ẩn danh trên vùng núi cao - tập 474	"1,145,214"	"8,756"	721		
"Gia đình nhỏ sống trong căn nhà rách nát, nghẹn ngào vì 20 năm chưa được ăn thịt cá hộp - tập 471"	"1,141,480"	"9,566"	722		
"3 MẸ CON ăn chu.ột, ở trong rừng, MÓN ĂN kì lạ CH.U.ỘT nấu canh chua - tập 1002"	"1,119,148"	"12,300"	774		
"CÔ GÁI xinh đẹp, ĂN NGỦ ở trên núi, 18 năm không biết THÀNH PHỐ - tập 1073"	"1,116,070"	"14,255"	794		
"2 VỢ CHỒNG trẻ, dắt nhau vô rừng sinh sống, trong CĂN NHÀ dột nát - tập 1190"	"1,112,993"	"10,209"	594		
Cụ bà 100 tuổi leo lên núi cao đi hái lá cây rừng ăn và nuôi thú vật - tập 469	"1,110,211"	"8,185"	598		
CÔ GÁI MIỀN TÂY lưu lạc ở vùng đất nắng gió lượm rác thải KIẾM ĂN - tập 1733	"1,101,789"	"10,664"	"1,060"		
"CÔ GÁI ở trong rừng, ăn LÁ CÂY, món ăn đắng LÈ LƯỠI, ai nhìn thấy cũng chảy NƯỚC MIẾNG - tập 997"	"1,087,154"	"10,715"	785		
Chia sẻ cách tìm tổ ong ruồi dễ dàng từ A đến Z tìm là thấy ngay	"1,085,772"	"5,844"	490		
"CÔ GÁI ăn ngủ trong rừng, ăn tất cả LÁ CÂY rừng, ĂN để TỒN TẠI - tập 1008"	"1,039,525"	"10,821"	780		
Người phụ nữ sống ẩn danh trên núi với động vật như người rừng - tập 448	"1,034,354"	"8,015"	448		
"Đứa con gái bất hiếu, bỏ mẹ già một mình trên núi không cho ăn cơm, lượm phân bò kiếm ăn - tập 526"	"1,032,987"	"11,364"	633		
"BỮA ĂN nghèo nhất, lá cây chấm muối ớt, 2 vợ chồng trẻ BẬT KHÓC - tập 1392"	"1,025,457"	"7,284"	588		
"Đi vào rừng sâu, vực thẳm tìm kiếm người đàn ông mang hình hài con ếch - tập 567"	"1,021,369"	"9,139"	534		
"Lạc vào rừng sâu, bất ngờ phát hiện nơi ở của người rừng đẹp lung linh - tập 630"	"1,016,265"	"11,750"	650		
"ĂN LÁ cây, NGỦ trong rừng, uống nước suối, ĂN UỐNG tất cả để TỒN TẠI - tập 1030"	"1,004,580"	"10,273"	739		
"BÍ ẨN, người đàn ông ở trên ngọn núi cao, sống như NGƯỜI RỪNG - tập 730"	"1,003,250"	"6,322"	267		
"XÓT THƯƠNG 2 vợ chồng trẻ MỒ CÔI cha lẫn mẹ, sống LANG THANG - tập 1485"	"988,521"	"11,914"	"1,183"		
"BỮA CƠM của người nghèo, món ăn đắng LÈ LƯỠI, ngậm đắng nuốt cay - tập 1219"	"977,296"	"9,538"	643		
"TRỜI ƠI, ông lão không tin, NGƯỜI DƯNG lại cho ông lão số TIỀN LỚN - tập 813"	"953,479"	"11,872"	964		
