						
 	Title	Views	Likes	Comments		
	“ƯỚC MƠ VÀ ĐỔI ĐỜI” Cuộc sống hiện tại của người mẹ trẻ 19 tuổi nuôi con trong rừng. Tập 710	"28,949"	622	57		
	LỪA VỢ LỪA CON người chồng đi biệt tích bỏ lại 4 mẹ con sống khổ ai nhìn cũng khóc. Tập 709	"19,601"	294	16		
	KẺ TRỘM đột nhập lấy hết gà 3 CHA CON phải ở chòi rách cang giữ quanh năm. Tập 708	"12,742"	232	4		
	Sống như NGƯỜI RỪNG ăn chuối khi hết gạo ngủ trong căn CHÒI RÁCH. Tập 707	"4,133"	186	4		
	MẤT VỢ MẤT CON người đàn đàn ông khóc nức nở ai nhìn cũng XÓT XA. Tập 706	"23,006"	426	19		
	Tặng xe máy cày ƯỚC MƠ 10 năm của ba #tiennguyentv #kếtnốiyêuthương #thiệnnguyện #giadinh	"13,657"	39	0		
	Vợ MÊ TIỀN THEO TRAI bỏ lại người chồng sống cô đơn trong căn chòi giữa rừng. Tập 705	"6,757"	224	2		
	Tặng ba món QUÀ LỚN ước mơ 10 năm trở thành sự thật. Tập 704	"30,722"	545	31		
	Người mẹ 19 tuổi quyết tâm chọn nhà không chọn tiền #ketnoiyeuthuong #tiennguyentv #thiennguyen	"17,273"	168	6		
	“ĐỔI ĐỜI SAU 1 ĐÊM” Người mẹ trẻ 19 tuổi dùng số tiền lớn đổi lấy căn nhà MƠ ƯỚC. Tập 703	"120,310"	"1,663"	113		
	Bị mẹ ĐUỔI KHỎI NHÀ người phụ nữ đau buồn cùng chồng ôm con vào rừng. Tập 702	"11,460"	264	13		
	5 NĂM ở trong căn chòi KHÔNG VÁCH TẠM BỢ trên núi khổ ơi là khổ. Tập 701	"6,810"	193	13		
	Thực hiện căn nhà mơ ước cho 2 bà cháu nghèo #tiennguyentv #kếtnốiyêuthương #thiệnnguyện	"4,090"	134	5		
	“BẬT KHÓC CỨ NGỠ LÀ GIẤC MƠ” Hành trình để thấy sự thay đổi của người nghèo. Tập 700	"33,636"	838	37		
	Người mẹ 19 tuổi ôm con vào rừng sống #tiennguyentv #kếtnốiyêuthương #thiệnnguyện #giupdonguoingheo	"1,942"	46	1		
	Người mẹ Trẻ 19 Tuổi Dựng Chòi Bạt Nuôi Con Giữa Khu Rừng. Tập 699	"14,385"	298	15		
	THIẾU NỮ mượn gạo nuôi con trong rừng #kếtnốiyêuthương #thiệnnguyện #tiennguyentv	"1,654"	28	0		
	NGƯỜI MẸ TRẺ vượt khó nuôi con trong căn chòi TẠM BỢ. Tập 698	"7,081"	197	4		
	KHÔNG AI KHỔ BẰNG sống trong CĂN CHÒI BAY NÓC trong khu rừng cùng chồng con. Tập 697	"4,739"	158	5		
	"CHA MẸ NHẬU NHẸT, cô gái bỏ nhà lên núi sống 10 năm #tiennguyentv #kếtnốiyêuthương #thiệnnguyện"	"2,643"	36	1		
	“MẸ NHẬU NHẸT CHA TR.EO CỔ” Cô gái phải bỏ nhà ra đi. Tập 696	"12,364"	247	12		
	BẤT NGỜ phát hiện nơi ở nhỏ như HANG CHUỘT trong rừng. Tập 695	"5,480"	196	11		
	HƠN 10 NĂM cụ ông NGƯỜI KINH rời xa gia đình lên núi sống một cuộc đời NGHÈO KHỔ. Tập 694	"6,866"	272	10		
	THIẾU NỮ 19 TUỔI ôm con vào rừng sống trong cảnh nghèo khó ai cũng thương. Tập 693	"54,957"	489	20		
	Hơn 10 Năm Sống Trong Chuồng Dê Trong Rừng…Mỗi Đêm Ăn Trộm Đều Đột Nhập. Tập 692	"8,333"	341	9		
	Hôm Nay Tiến Lấy Vợ | Đám Cưới Của Tiến Nguyễn Tv	"32,606"	707	75		
	GIẢ VỜ tới hỏi mua hết đậu và SỰ THẬT về của sống của người mẹ trẻ. Tập 691	"6,077"	234	8		
	“BẤT NGỜ HAI BÀ CHÁU ĐỔI ĐỜI CHỈ SAU 1 ĐÊM” Khi phải sống trong cảnh nghèo nhiều năm. Tập 690	"47,811"	"1,478"	103		
	Người phụ nữ nghèo BẤT NGỜ BẬT KHÓC vì điều này #thiệnnguyện #kếtnốiyêuthương #tiếnnguyễntv	"14,359"	106	3		
	TIN VUI…2 bà cháu sống trong căn chòi RÁCH NÁT chuẩn bị có NHÀ MỚI để ở. Tập 689	"3,296"	212	9		
	NGƯỜI ĐÀN ÔNG MIỀN TÂY bỏ nhà đi nhặt ve chai xuyên việt. Tập 688	"2,940"	131	8		
	Người đàn ông sống CÔ ĐỘC trong rừng phải uống nước mưa TỒN TẠI qua ngày. Tập 687	"3,524"	156	2		
	2 BÀ CHÁU dắt nhau vào rừng TRÚ ẨN phải nằm dưới đất ngủ mỗi đêm. Tập 686	"4,505"	201	8		
	Người chồng MÊ GÁI chọn cách bỏ rơi cô vợ xinh đẹp nhất MIỀN NÚI. Tập 685	"14,936"	297	6		
	Người chồng NGHIỆN RƯỢU không lo làm ăn khiến vợ phải cực khổ nhiều năm. Tập 684	"13,271"	214	4		
	"BẤT NGỜ khi thấy cảnh căn chòi bị NGHIỀN NÁT, 2 bà cháu phải ngủ nhờ mỗi đêm. Tập 683"	"5,161"	190	10		
	Thương cho 3 mẹ con…phải sống trong CẢNH NGHÈO giữa rừng núi HOANG VU. Tập 682	"15,202"	293	11		
	CHA MẸ NHẬU NHẸT con gái bỏ nhà ra đi #tiếnnguyễntv #kếtnốiyêuthương #thiệnnguyện	"2,538"	37	1		
	Cha mẹ RƯỢU CHÈ cô gái trẻ phải rời bỏ gia đình vì chịu không nổi. Tập 681	"37,170"	432	15		
	CÔ GÁI TRẺ sống trong cảnh nghèo cùng con thơ nơi rừng núi HOANG VU. Tập 680	"12,411"	262	3		
