"Title","ID","Created Date","Updated Date","Owner","Url","Description","Category","All Categories (List)","New Homes  (List)","Rock Houses (List)","Livelihood Struggles (List)","Families with Young Children (List)","Single Parents (List)","Medical Issues (List)","Seniors (List)","Living Alone (List)","People with Disabilities (List)","Community (List)","Water Supply System (List)","Chickens (List)"
"Người phụ nữ giấu mặt BẤT NGỜ xuất hiện nói về hoàn cảnh của 5 mẹ con KHỜ. Tập 488","0097b656-961c-4217-8a5c-9387831ac5f3",2025-05-29T01:28:17Z,2025-06-04T12:27:43Z,"7b3183f5-d0f4-48cc-a966-9af608e26ee6","https://www.youtube.com/watch?v=USjo7Tc8ueY","Video này mô tả một gia đình đang vật lộn với điều kiện sống cực kỳ tồi tệ trong một ngôi nhà đổ nát được làm từ vật liệu nhặt được. Họ phải đối mặt với những thách thức hàng ngày, bao gồm việc thiếu giường ngủ thích hợp, bếp đầy khói và thức ăn hạn chế, thường chỉ có một bát cơm cho cả gia đình. Những đứa trẻ còn rất nhỏ và không biết mình bao nhiêu tuổi. Gia đình phải làm việc chăm chỉ để thu thập phân bò để kiếm sống.","Livelihood Struggles","/all-categories/","/nha-moi/","/nha-da/","/cuoc-song-kho-khan/","/gia-dinh-co-con-nho/","/cha-me-don-than/","/van-de-suc-khoe/","/nguoi-lon-tuoi/","/song-mot-minh/","/nguoi-khyet-tat/","/cong-dong/","/he-thong-cap-nuoc/","/chickens/"
"Sống trong căn chòi quá “THẢM THƯƠNG” mọi thứ đều đi xin để tồn tại. Tập 354","0147771b-8daa-43dd-8578-04fde980a426",2025-05-29T01:28:17Z,2025-09-22T18:16:57Z,"7b3183f5-d0f4-48cc-a966-9af608e26ee6","https://www.youtube.com/watch?v=ysf1neVOTG0","Video này có sự góp mặt của một cặp vợ chồng lớn tuổi, 67 và 63 tuổi, đã sống bốn năm trong một túp lều rất đơn sơ làm bằng cây rừng và những miếng bạc rách nát ở vùng Đồng bằng sông Cửu Long. Túp lều của họ nằm gần những cánh đồng lúa nước, và họ sử dụng các ao gần đó để tắm và ngâm gạo. Con cái và cháu chắt của họ đã chuyển đi làm xa, khiến họ phần lớn sống một mình. Cặp vợ chồng này sống bằng những bữa ăn đơn giản, thường thèm cá thay vì rau dại, và phải mua nước để nấu ăn và uống. Mặc dù có một số con gà, họ vẫn gặp khó khăn về tài chính và phải mua cá trả góp. Ngay cả khi có năng lượng mặt trời, túp lều nhỏ của họ vẫn lộn xộn, với dây điện và sâu bọ.
","Seniors","/all-categories/","/nha-moi/","/nha-da/","/cuoc-song-kho-khan/","/gia-dinh-co-con-nho/","/cha-me-don-than/","/van-de-suc-khoe/","/nguoi-lon-tuoi/","/song-mot-minh/","/nguoi-khyet-tat/","/cong-dong/","/he-thong-cap-nuoc/","/chickens/"
"CHUYẾN HÀNH TRÌNH NGHẸT THỞ. Vận chuyển vật tư vào RỪNG SÂU để dựng lên CĂN NHÀ TÌNH THƯƠNG. Tập 110","019885cc-8d8a-4fdc-9e11-b36c8b314cd1",2025-05-29T01:28:16Z,2025-09-22T18:02:42Z,"7b3183f5-d0f4-48cc-a966-9af608e26ee6","https://www.youtube.com/watch?v=af0Mu9du4HE","Xây dựng một ngôi nhà mới cho một gia đình năm người sống ở một vùng núi xa xôi. Việc xây dựng phải đối mặt với những thách thức đáng kể về mặt hậu cần do địa hình khó khăn, đòi hỏi các phương tiện phải dừng lại ở chân núi và một nền móng được cố định bằng những tảng đá lớn. Ngôi nhà mới cải thiện đáng kể điều kiện sống của gia đình bằng cách lắp thêm đèn năng lượng mặt trời và giường ngủ, một sự nâng cấp đáng kể so với túp lều đổ nát trước đây của họ.
","New Homes","/all-categories/","/nha-moi/","/nha-da/","/cuoc-song-kho-khan/","/gia-dinh-co-con-nho/","/cha-me-don-than/","/van-de-suc-khoe/","/nguoi-lon-tuoi/","/song-mot-minh/","/nguoi-khyet-tat/","/cong-dong/","/he-thong-cap-nuoc/","/chickens/"
"“SỐNG TRONG CĂN CHÒI SỤP ĐỔ” 3 mẹ con phải chịu cảnh đói quanh năm. Tập 431","01ee084f-955c-4de2-8dd7-7d9badbd29da",2025-05-29T01:28:17Z,2025-09-22T18:23:53Z,"7b3183f5-d0f4-48cc-a966-9af608e26ee6","https://www.youtube.com/watch?v=E3BY-1qaisE","Một gia đình sống trong cảnh nghèo đói cùng cực trong một túp lều tạm bợ làm bằng tre và lá, thiếu điện và nước sạch, trẻ em ngủ trên sàn đất. Thu nhập hàng tháng của họ chỉ giới hạn ở ""vài trăm nghìn đồng"" do chồng gửi, buộc họ phải vay tiền để mua nhu yếu phẩm. Chế độ ăn uống của họ chủ yếu là gạo, cháo và cá khô, còn mẹ và các con thì kiếm ăn trong rừng. Họ dựa vào việc chặt và phơi tre để làm nhiên liệu và thực phẩm. Việc tiếp cận dịch vụ chăm sóc sức khỏe bị hạn chế nghiêm trọng, đòi hỏi phải đi lại đường dài và chi phí tự túc. Tương lai của gia đình vẫn ảm đạm.","Families with Young Children","/all-categories/","/nha-moi/","/nha-da/","/cuoc-song-kho-khan/","/gia-dinh-co-con-nho/","/cha-me-don-than/","/van-de-suc-khoe/","/nguoi-lon-tuoi/","/song-mot-minh/","/nguoi-khyet-tat/","/cong-dong/","/he-thong-cap-nuoc/","/chickens/"
"Không ai khổ bằng,cuộc sống nghèo đói của cụ bà sống cô đơn lẻ bóng trong rừng không có gì ăn.#151","02cb5c7c-f501-4087-ae30-aa811adcf069",2025-05-29T01:28:17Z,2025-09-22T18:06:51Z,"7b3183f5-d0f4-48cc-a966-9af608e26ee6","https://www.youtube.com/watch?v=Yl_zJpS67o8","Một bà lão sống một mình trong túp lều nhỏ trong 20 năm kể từ khi chồng mất, sống nhờ lá đu đủ và thỉnh thoảng được con cái giúp đỡ. Mặc dù cực kỳ nghèo đói, bà vẫn thể hiện sự tháo vát khi xây sàn nhà bằng gỗ và tôn. Chế độ ăn của bà chủ yếu là măng, đu đủ và hạt điều, không có thịt hoặc protein. Sống trong một khu rừng xa xôi không có điện hoặc nước máy, bà tắm trong mương và lấy nước từ một con suối trên núi. Thu nhập duy nhất của bà là bán hạt điều với giá 20.000-25.000 đồng một kg, dùng để nấu cơm và làm nước mắm. Không có dịch vụ chăm sóc y tế, sức khỏe của bà rất yếu.
","Seniors","/all-categories/","/nha-moi/","/nha-da/","/cuoc-song-kho-khan/","/gia-dinh-co-con-nho/","/cha-me-don-than/","/van-de-suc-khoe/","/nguoi-lon-tuoi/","/song-mot-minh/","/nguoi-khyet-tat/","/cong-dong/","/he-thong-cap-nuoc/","/chickens/"
"Sống trong NGÔI NHÀ bằng đất..MƯA BÃO không biết sụp đổ lúc nào không hay. Tập 35","03310f36-f774-4d22-bc76-16e85112dada",2025-05-29T01:28:16Z,2025-09-22T17:55:05Z,"7b3183f5-d0f4-48cc-a966-9af608e26ee6","https://www.youtube.com/watch?v=T0Ni-rZL2AM","Video này khám phá những điều kiện sống đầy thách thức của những người dân làng sống trong những ngôi nhà đất đổ nát với mái tôn, dễ bị sập khi mưa lớn. Chế độ ăn của họ rất đơn giản, chủ yếu gồm đậu, nước mắm và muối, bổ sung thêm cua bắt được trên đồng ruộng và nhiều loại rau củ. Những thách thức hàng ngày bao gồm tình trạng thiếu nước nghiêm trọng, buộc họ phải lấy nước từ những nguồn xa xôi.
","Livelihood Struggles","/all-categories/","/nha-moi/","/nha-da/","/cuoc-song-kho-khan/","/gia-dinh-co-con-nho/","/cha-me-don-than/","/van-de-suc-khoe/","/nguoi-lon-tuoi/","/song-mot-minh/","/nguoi-khyet-tat/","/cong-dong/","/he-thong-cap-nuoc/","/chickens/"
"1 ngày 1 đêm trải nghiệm ngủ trong rừng nơi những người nghèo được sinh ra sẽ như thế nào. Tập 215","034b8119-8d49-4c01-9e01-45d15ab8de79",2025-05-29T01:28:17Z,2025-09-22T18:12:44Z,"7b3183f5-d0f4-48cc-a966-9af608e26ee6","https://www.youtube.com/watch?v=tJztxYQ1bsU","Việc dành nhiều thời gian ở nơi hoang dã trở thành điều cần thiết để sinh tồn, đòi hỏi các kỹ thuật đốt lửa thô sơ và các kỹ năng săn bắt và kiếm ăn tiên tiến. Video nêu bật sự chênh lệch đáng kể giữa sinh kế ở thành thị và nông thôn tại các khu vực đang phát triển, cho thấy cuộc sống đầy thử thách của các cộng đồng nghèo đói phụ thuộc vào tài nguyên thiên nhiên để duy trì sự sống.
","Community","/all-categories/","/nha-moi/","/nha-da/","/cuoc-song-kho-khan/","/gia-dinh-co-con-nho/","/cha-me-don-than/","/van-de-suc-khoe/","/nguoi-lon-tuoi/","/song-mot-minh/","/nguoi-khyet-tat/","/cong-dong/","/he-thong-cap-nuoc/","/chickens/"
"Sống trong CĂN CHÒI RÁCH NÁT trong rừng sâu người phụ nữ mỗi ngày phảI “ĂN THƠM THAY CƠM” Tập 231","040c9cea-c0aa-4b14-9c8a-02dd701e6fb7",2025-05-29T01:28:17Z,2025-09-22T18:14:52Z,"7b3183f5-d0f4-48cc-a966-9af608e26ee6","https://www.youtube.com/watch?v=rpqkYHSXyI4","Video này khắc họa một gia đình sống trong cảnh nghèo đói cùng cực trong một túp lều đổ nát, mái nhà nghiêng, thủng lỗ chỗ và không có cửa, được chống đỡ bằng một cành điều. Ba người cùng chung một tấm chăn và ngủ trên một tấm ván gỗ. Cuộc sống hàng ngày của họ xoay quanh việc gánh những bình nước nặng trĩu từ một con suối xa xôi trên núi. Chế độ ăn uống của họ chỉ giới hạn ở rau dại, gà nuôi, và đôi khi là dứa thay vì gạo. Họ đảm đương những công việc thường ngày như chăn gà và lọc nước. Gia đình họ đi xuyên rừng hàng ngày để kết nối và giúp đỡ các hộ gia đình nghèo khác ở tỉnh Ninh Thuận, ghi lại những trải nghiệm của họ để nâng cao nhận thức.","Livelihood Struggles","/all-categories/","/nha-moi/","/nha-da/","/cuoc-song-kho-khan/","/gia-dinh-co-con-nho/","/cha-me-don-than/","/van-de-suc-khoe/","/nguoi-lon-tuoi/","/song-mot-minh/","/nguoi-khyet-tat/","/cong-dong/","/he-thong-cap-nuoc/","/chickens/"
"XÓT XA trước hình ảnh của chàng thanh niên trẻ mắc phải CĂN BỆNH NẶNG chỉ còn DA BỌC XƯƠNG. Tập 217","05808830-2afb-4213-8677-6cd2f3194d40",2025-05-29T01:28:17Z,2025-09-22T18:12:59Z,"7b3183f5-d0f4-48cc-a966-9af608e26ee6","https://www.youtube.com/watch?v=Vlv36mDWmz4","Một người cha 67 tuổi chăm sóc người con trai 29 tuổi của mình, người mắc phải biến chứng tiểu đường nghiêm trọng bao gồm đau chân và hạn chế khả năng vận động. Gia đình phải đối mặt với khó khăn cực độ, với hai người con trai thất nghiệp và không đủ hỗ trợ tài chính từ một người con gái để trang trải chi phí sinh hoạt và y tế. Họ phải chịu đựng điều kiện sống tồi tệ trong một ngôi nhà tối tăm, sương mù chỉ có một chiếc giường và bếp nấu bằng củi. Sức khỏe của người con trai đã suy giảm nhanh chóng, bị liệt và teo cơ, và anh ấy cũng bị bệnh thận. Người cha lo sợ con trai mình sẽ chết nếu không được điều trị thích hợp do hoàn cảnh nghèo đói cùng cực. Mong muốn của người con trai là được chữa khỏi bệnh, tìm được một công việc ổn định và chăm sóc gia đình.
","Medical Issues","/all-categories/","/nha-moi/","/nha-da/","/cuoc-song-kho-khan/","/gia-dinh-co-con-nho/","/cha-me-don-than/","/van-de-suc-khoe/","/nguoi-lon-tuoi/","/song-mot-minh/","/nguoi-khyet-tat/","/cong-dong/","/he-thong-cap-nuoc/","/chickens/"
"Món ăn nghèo khổ nhất trên vùng núi, cụ bà quanh năm chỉ ăn cây và lá rừng để tồn tại. Tập 415","0620ac48-5f17-43ee-b48a-14d446d51074",2025-05-29T01:28:17Z,2025-09-22T18:22:09Z,"7b3183f5-d0f4-48cc-a966-9af608e26ee6","https://www.youtube.com/watch?v=noK5ComjzzY","Một bà cụ 70 tuổi sống một mình trong một túp lều cực kỳ tồi tàn chỉ có hai bức tường, được xây dựng cách đây nhiều thập kỷ từ tôn gợn sóng và vật liệu bạc. Túp lều bị dột, khiến điều kiện sống trở nên khốn khổ và không an toàn. Gia đình sống dựa vào nghề nông tự cung tự cấp, trồng sắn, đậu và đu đủ, nuôi gà và lợn để đảm bảo an ninh lương thực. Các thói quen hàng ngày xoay quanh các công việc sinh tồn cơ bản như múc nước, đào khoai tây và chăm sóc động vật. Tuổi cao và sức khỏe giảm sút của bà cụ thể hiện rõ qua việc bà phải vật lộn để gọt củ sắn. Vị trí xa xôi của gia đình hạn chế khả năng tiếp cận các nguồn lực và cơ hội, khiến họ tiếp tục vòng luẩn quẩn của đói nghèo. Bất chấp hoàn cảnh khắc nghiệt, gia đình vẫn thể hiện sự tháo vát đáng kinh ngạc trong việc thích nghi với môi trường và tìm cách sinh tồn.
","Seniors","/all-categories/","/nha-moi/","/nha-da/","/cuoc-song-kho-khan/","/gia-dinh-co-con-nho/","/cha-me-don-than/","/van-de-suc-khoe/","/nguoi-lon-tuoi/","/song-mot-minh/","/nguoi-khyet-tat/","/cong-dong/","/he-thong-cap-nuoc/","/chickens/"
